gender: Male, regno: E/11/133, height: 182, weight: 93, age: 23
gender: Male, regno: E/11/132, height: 165, weight: 62, age: 23
gender: Male, regno: E/11/148, height: 165, weight: 60, age: 23
gender: Male, regno: E/11/311, height: 182, weight: 67, age: 23
gender: Male, regno: E/11/384, height: 158, weight: 81, age: 23
gender: Female, regno: E/11/368, height: 148, weight: 70, age: 22
gender: Male, regno: E/11/313, height: 170, weight: 70, age: 22
gender: Female, regno: E/11/444, height: 155, weight: 38, age: 22
gender: Female, regno: E/11/145, height: 160, weight: 36, age: 22
gender: Male, regno: E/11/419, height: 180, weight: 56, age: 23
gender: Female, regno: E/11/486, height: 163, weight: 50, age: 23
gender: Male, regno: E/11/395, height: 100, weight: 30, age: 24
gender: Female, regno: E/11/487, height: 165, weight: 32, age: 22
gender: Male, regno: E/11/258, height: 186, weight: 60, age: 23
gender: Male, regno: E/11/037, height: 180, weight: 75, age: 23
gender: Female, regno: E/11/484, height: 163, weight: 60, age: 22
gender: Male, regno: E/11/343, height: 178, weight: 54, age: 22
gender: Male, regno: E/11/188, height: 170, weight: 55, age: 22
gender: Male, regno: E/11/024, height: 158, weight: 75, age: 22
gender: Male, regno: E/11/010, height: 178, weight: 75, age: 23
gender: Male, regno: E/11/209, height: 112, weight: 20, age: 19
gender: Male, regno: E/11/029, height: 176, weight: 72, age: 23
gender: Male, regno: E/11/143, height: 180, weight: 70, age: 22
gender: Male, regno: E/11/067, height: 170, weight: 66, age: 22
gender: Male, regno: E/11/059, height: 180, weight: 100, age: 22
gender: Male, regno: E/11/405, height: 179, weight: 90, age: 22
gender: Male, regno: E/11/429, height: 170, weight: 90, age: 22
gender: Male, regno: E/11/297, height: 170, weight: 64, age: 23
gender: Male, regno: E/11/305, height: 172, weight: 54, age: 22
gender: Female, regno: E/11/064, height: 150, weight: 50, age: 22
gender: Male, regno: E/11/060, height: 165, weight: 53, age: 23
gender: Male, regno: E/11/488, height: 170, weight: 55, age: 22
gender: Male, regno: E/11/044, height: 160, weight: 150, age: 18
gender: Male, regno: E/11/080, height: 166, weight: 55, age: 22
gender: Female, regno: E/11/217, height: 150, weight: 45, age: 22
gender: Female, regno: E/11/032, height: 165, weight: 58, age: 22
gender: Female, regno: E/11/020, height: 155, weight: 60, age: 22
gender: Male, regno: E/11/174, height: 179, weight: 68, age: 23
gender: Male, regno: E/11/171, height: 180, weight: 72, age: 23
gender: , regno: , height: 0, weight: 0, age: 0
gender: , regno: , height: 0, weight: 0, age: 0
gender: Male, regno: E/11/183, height: 172, weight: 53, age: 22
gender: Male, regno: E/11/201, height: 173, weight: 59, age: 22
